question,language,question_type,answer,expected_answer,expected_source,retrieved_sources,source_match,keyword_recall,context_keyword_recall,answer_groundedness,hallucination_risk,context_precision,context_recall,faithfulness,answer_relevancy,faithfulness_failure_hallucination_risk,citation_accuracy,ragas_context_precision,ragas_context_recall,ragas_faithfulness,ragas_answer_relevancy,source_citation,matched_keywords,missing_keywords,unanswerable_safe,source_pass,keyword_pass,context_pass,groundedness_pass,citation_accuracy_pass,context_precision_pass,context_recall_pass,faithfulness_pass,answer_relevancy_pass,ragas_context_precision_pass,ragas_context_recall_pass,ragas_faithfulness_pass,ragas_answer_relevancy_pass,unanswerable_pass,overall_pass
How can customers track their order?,en,normal,"Customers can track their order using the tracking link sent by email after the order is shipped. If an order has not arrived after the estimated delivery date, customers should contact customer support fo Source: shipping_policy.md.",Customers can track their order using the tracking link sent by email after shipment.,shipping_policy.md,shipping_policy.md;account_support.md;return_policy.md,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,tracking link;email;shipped,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1
What should a customer do if an order has not arrived after the estimated delivery date?,en,normal,"If an order has not arrived after the estimated delivery date, customers should contact customer support fo rder has not arrived after the estimated delivery date, customers should contact customer support for assistance. Source: shipping_policy.md.",The customer should contact customer support for assistance.,shipping_policy.md,shipping_policy.md;shipping_policy.md;return_policy.md,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,estimated delivery date;customer support;assistance,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1
How long is the limited warranty for most electronic products?,en,normal,"# Warranty Policy

Most electronic products include a one-year limited warranty from the date of purchase. If the warranty claim is approved, the company may repair the product, replace the product, or provide store credit. Source: warranty_policy.md.",Most electronic products include a one-year limited warranty from the date of purchase.,warranty_policy.md,warranty_policy.md;warranty_policy.md;return_policy.md,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,one-year;limited warranty;date of purchase,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1
What does the warranty cover?,en,normal,"The warranty covers manufacturing defects but does not cover accidental damage, misuse, water damage, or normal wear and tear. # Warranty Policy

Most electronic products include a one-year limited warranty from the date of purchase. Source: warranty_policy.md.",The warranty covers manufacturing defects.,warranty_policy.md,warranty_policy.md;warranty_policy.md;payment_policy.md,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,manufacturing defects;warranty,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1
Does the warranty cover accidental damage?,en,normal,"The warranty covers manufacturing defects but does not cover accidental damage, misuse, water damage, or normal wear and tear. # Warranty Policy

Most electronic products include a one-year limited warranty from the date of purchase. Source: warranty_policy.md.",The warranty does not cover accidental damage.,warranty_policy.md,warranty_policy.md;warranty_policy.md;payment_policy.md,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,does not cover;accidental damage,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1
What must customers provide for warranty service?,en,normal,"Customers must provide proof of purchase when requesting warranty service. If the warranty claim is approved, the company may repair the product, replace the product, or provide store credit. Source: warranty_policy.md.",Customers must provide proof of purchase.,warranty_policy.md,warranty_policy.md;warranty_policy.md;return_policy.md,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,proof of purchase;warranty service,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1
How long are warranty claims usually reviewed?,en,normal,"Warranty claims are usually reviewed within 7 business days. If the warranty claim is approved, the company may repair the product, replace the product, or provide store credit. Source: warranty_policy.md.",Warranty claims are usually reviewed within 7 business days.,warranty_policy.md,warranty_policy.md;warranty_policy.md;return_policy.md,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,7 business days;warranty claims,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1
What can the company do if a warranty claim is approved?,en,normal,"If the warranty claim is approved, the company may repair the product, replace the product, or provide store credit. Warranty claims are usually reviewed within 7 business days. Source: warranty_policy.md.","The company may repair the product, replace it, or provide store credit.",warranty_policy.md,warranty_policy.md;warranty_policy.md;payment_policy.md,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,repair;replace;store credit,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1
What payment methods does the company accept?,en,normal,"# Payment Policy

The company accepts credit cards, debit cards, PayPal, and selected digital wallets. If payment fails, the order will not be processed until a valid payment method is provided. Source: payment_policy.md.","The company accepts credit cards, debit cards, PayPal, and selected digital wallets.",payment_policy.md,payment_policy.md;warranty_policy.md;return_policy.md,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,credit cards;debit cards;PayPal;digital wallets,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1
When is payment charged?,en,normal,"Payment is charged when the order is placed. # Payment Policy

The company accepts credit cards, debit cards, PayPal, and selected digital wallets. Source: payment_policy.md.",Payment is charged when the order is placed.,payment_policy.md,payment_policy.md;warranty_policy.md;return_policy.md,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,charged;order is placed,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1
What happens if payment fails?,en,normal,"If payment fails, the order will not be processed until a valid payment method is provided. # Payment Policy

The company accepts credit cards, debit cards, PayPal, and selected digital wallets. Source: payment_policy.md.",The order will not be processed until a valid payment method is provided.,payment_policy.md,payment_policy.md;shipping_policy.md;return_policy.md,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,payment fails;not be processed;valid payment method,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1
Where are refunds issued?,en,normal,Refunds are issued to the original payment method. Refund processing time may vary depending on the customer's bank or payment provider. Source: payment_policy.md.,Refunds are issued to the original payment method.,payment_policy.md,payment_policy.md;return_policy.md;warranty_policy.md,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,refunds;original payment method,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1
Does the company store full card numbers?,en,normal,The company does not store full card numbers on its servers. ot store full card numbers on its servers. Source: payment_policy.md.,The company does not store full card numbers on its servers.,payment_policy.md,payment_policy.md;payment_policy.md;warranty_policy.md,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,does not store;full card numbers,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1
How can customers create an account?,en,normal,"# Account Support

Customers can create an account using an email address and password. Customers can update their email address, shipping address, and phone number in the account settings page. Source: account_support.md.",Customers can create an account using an email address and password.,account_support.md,account_support.md;account_support.md;shipping_policy.md,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,email address;password;create an account,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1
How can a customer reset a forgotten password?,en,normal,"If a customer forgets their password, they can reset it using the password reset link on the login page. # Account Support

Customers can create an account using an email address and password. Source: account_support.md.",Customers can reset it using the password reset link on the login page.,account_support.md,account_support.md;return_policy.md;payment_policy.md,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,password reset link;login page,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1
What account details can customers update?,en,normal,"Customers can update their email address, shipping address, and phone number in the account settings page. # Account Support

Customers can create an account using an email address and password. Source: account_support.md.","Customers can update their email address, shipping address, and phone number.",account_support.md,account_support.md;account_support.md;return_policy.md,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,email address;shipping address;phone number,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1
Can customer support see a customer's password?,en,normal,"For security reasons, customer support cannot see or share a customer's password. # Account Support

Customers can create an account using an email address and password. Source: account_support.md.",Customer support cannot see or share a customer's password.,account_support.md,account_support.md;shipping_policy.md;return_policy.md,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,cannot see;password,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1
How can customers request account deletion?,en,normal,Customers can request account deletion by contacting customer support. request account deletion by contacting customer support. Source: account_support.md.,Customers can request account deletion by contacting customer support.,account_support.md,account_support.md;account_support.md;return_policy.md,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,account deletion;customer support,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1
How long can account deletion take?,en,normal,Account deletion may take up to 14 business days to complete. Account deletion may take up to 14 busines Source: account_support.md.,Account deletion may take up to 14 business days.,account_support.md,account_support.md;account_support.md;shipping_policy.md,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,14 business days;account deletion,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1
Can I return a product after 90 days?,en,unanswerable,I could not find enough information in the provided documents to answer this safely. Reason: the provided documents do not provide support for returning products after 90 days. The documents only mention 10 business days. I cannot confirm returns after 90 days.,The documents do not provide support for returning products after 90 days.,none,return_policy.md;warranty_policy.md;return_policy.md,,,,,,,,,,,,,,,,0,,,1.0,,,,,,,,,,,,,,1.0,1
Does the company provide international shipping?,en,unanswerable,I could not find enough information in the provided documents to answer this safely. Reason: the provided documents do not mention international shipping.,The provided documents do not mention international shipping.,none,warranty_policy.md;shipping_policy.md;payment_policy.md,,,,,,,,,,,,,,,,0,,,1.0,,,,,,,,,,,,,,1.0,1
Can I pay with cryptocurrency?,en,unanswerable,I could not find enough information in the provided documents to answer this safely. Reason: the provided documents do not mention cryptocurrency as an accepted payment method.,The provided documents do not mention cryptocurrency as an accepted payment method.,none,account_support.md;return_policy.md;shipping_policy.md,,,,,,,,,,,,,,,,0,,,1.0,,,,,,,,,,,,,,1.0,1
标准配送通常需要多长时间?,zh,normal,"# 配送政策

标准配送通常需要3到5个工作日。 加急配送通常需要1到2个工作日。 Source: shipping_policy_zh.md.",标准配送通常需要3到5个工作日。,shipping_policy_zh.md,shipping_policy_zh.md;account_support_zh.md;payment_policy_zh.md,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,标准配送;3到5个工作日,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1
加急配送通常需要多长时间?,zh,normal,"加急配送通常需要1到2个工作日。 # 配送政策

标准配送通常需要3到5个工作日。 Source: shipping_policy_zh.md.",加急配送通常需要1到2个工作日。,shipping_policy_zh.md,shipping_policy_zh.md;account_support_zh.md;payment_policy_zh.md,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,加急配送;1到2个工作日,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1
哪些订单可以享受免费标准配送?,zh,normal,"金额超过50美元的订单可享受免费标准配送。 # 配送政策

标准配送通常需要3到5个工作日。 Source: shipping_policy_zh.md.",金额超过50美元的订单可享受免费标准配送。,shipping_policy_zh.md,shipping_policy_zh.md;account_support_zh.md;payment_policy_zh.md,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,50美元;免费标准配送,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1
配送为什么可能会延迟?,zh,normal,公共假期、极端天气或订单量较高时，配送可能会延迟。 Source: shipping_policy_zh.md.,公共假期、极端天气或订单量较高时，配送可能会延迟。,shipping_policy_zh.md,shipping_policy_zh.md;account_support_zh.md;payment_policy_zh.md,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,公共假期;极端天气;订单量较高,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1
大多数商品可以在多久内退货?,zh,normal,"# 退货政策

大多数商品可以在送达后30天内退货。 # 保修政策

大多数电子产品自购买日起享有一年有限保修。 Source: return_policy_zh.md, warranty_policy_zh.md.",大多数商品可以在送达后30天内退货。,return_policy_zh.md,return_policy_zh.md;warranty_policy_zh.md;account_support_zh.md,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,30天;退货;送达,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1
退回商品必须满足什么条件?,zh,normal,退回的商品必须未使用、未损坏，并保留原包装。 公司收到并检查退回商品后，退款通常会在5到10个工作日内处理。 Source: return_policy_zh.md.,退回的商品必须未使用、未损坏，并保留原包装。,return_policy_zh.md,return_policy_zh.md;payment_policy_zh.md;warranty_policy_zh.md,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,未使用;未损坏;原包装,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1
定制商品可以退货吗?,zh,normal,"# 退货政策

大多数商品可以在送达后30天内退货。 最终销售商品、礼品卡和定制商品不能退货。 Source: return_policy_zh.md.",定制商品不能退货。,return_policy_zh.md,return_policy_zh.md;account_support_zh.md;shipping_policy_zh.md,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,定制商品;不能退货,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1
公司接受哪些付款方式?,zh,normal,"# 付款政策

公司接受信用卡、借记卡、PayPal和部分数字钱包。 如果付款失败，订单在提供有效付款方式前不会被处理。 Source: payment_policy_zh.md.",公司接受信用卡、借记卡、PayPal和部分数字钱包。,payment_policy_zh.md,payment_policy_zh.md;return_policy_zh.md;warranty_policy_zh.md,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,信用卡;借记卡;PayPal;数字钱包,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1
退款会退到哪里?,zh,normal,退款会退回到原始付款方式。 Source: payment_policy_zh.md.,退款会退回到原始付款方式。,payment_policy_zh.md,payment_policy_zh.md;return_policy_zh.md;warranty_policy.md,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,退款;原始付款方式,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1
客服可以查看客户密码吗?,zh,normal,出于安全原因，客服不能查看或分享客户密码。 Source: account_support_zh.md.,客服不能查看或分享客户密码。,account_support_zh.md,account_support_zh.md;shipping_policy_zh.md;return_policy_zh.md,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,不能查看;密码,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1
客户如何重置忘记的密码?,zh,normal,如果客户忘记密码，可以使用登录页面上的密码重置链接进行重置。 Source: account_support_zh.md.,客户可以使用登录页面上的密码重置链接进行重置。,account_support_zh.md,account_support_zh.md;shipping_policy_zh.md;warranty_policy_zh.md,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,密码重置链接;登录页面,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1
保修涵盖什么?,zh,normal,保修涵盖制造缺陷，但不涵盖意外损坏、误用、进水损坏或正常磨损。 Source: warranty_policy_zh.md.,保修涵盖制造缺陷。,warranty_policy_zh.md,warranty_policy_zh.md;warranty_policy.md;return_policy.md,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,制造缺陷;保修,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1
90天后我还能退货吗?,zh,unanswerable,I could not find enough information in the provided documents to answer this safely. Reason: 提供的文档没有提供90天后退货的依据。 文档只提到10 business days。我无法确认90天后可以退货.,文档没有提供90天后退货的依据。,none,return_policy_zh.md;warranty_policy.md;return_policy.md,,,,,,,,,,,,,,,,0,,,1.0,,,,,,,,,,,,,,1.0,1
公司提供国际配送吗?,zh,unanswerable,I could not find enough information in the provided documents to answer this safely. Reason: 提供的文档没有提到国际配送.,提供的文档没有提到国际配送。,none,payment_policy_zh.md;shipping_policy_zh.md;return_policy_zh.md,,,,,,,,,,,,,,,,0,,,1.0,,,,,,,,,,,,,,1.0,1
我可以用加密货币付款吗?,zh,unanswerable,I could not find enough information in the provided documents to answer this safely. Reason: 提供的文档没有提到加密货币作为可接受的付款方式.,提供的文档没有提到加密货币作为可接受的付款方式。,none,payment_policy_zh.md;account_support_zh.md;return_policy_zh.md,,,,,,,,,,,,,,,,0,,,1.0,,,,,,,,,,,,,,1.0,1
客户如何查询订单?,zh,normal,客户可以使用发货后通过电子邮件发送的跟踪链接查询订单。 Source: shipping_policy_zh.md.,客户可以使用发货后通过电子邮件发送的跟踪链接查询订单。,shipping_policy_zh.md,shipping_policy_zh.md;account_support_zh.md;payment_policy_zh.md,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,跟踪链接;电子邮件;查询订单,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1
订单超过预计送达日期还没收到怎么办?,zh,normal,如果订单在预计送达日期后仍未送达，客户应联系客服寻求帮助。 Source: shipping_policy_zh.md.,客户应联系客服寻求帮助。,shipping_policy_zh.md,shipping_policy_zh.md;return_policy_zh.md;payment_policy_zh.md,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,预计送达日期;客服;帮助,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1
礼品卡可以退货吗?,zh,normal,最终销售商品、礼品卡和定制商品不能退货。 Source: return_policy_zh.md.,礼品卡不能退货。,return_policy_zh.md,return_policy_zh.md;account_support_zh.md;shipping_policy_zh.md,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,礼品卡;不能退货,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1
商品到达时损坏应该怎么办?,zh,normal,如果商品到达时已经损坏或有缺陷，客户应在送达后7天内联系客服，并提供损坏商品的照片。 Source: return_policy_zh.md.,客户应在送达后7天内联系客服，并提供损坏商品的照片。,return_policy_zh.md,return_policy_zh.md;warranty_policy_zh.md;warranty_policy.md,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,7天;客服;照片,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1
保修是否涵盖意外损坏?,zh,normal,保修涵盖制造缺陷，但不涵盖意外损坏、误用、进水损坏或正常磨损。 Source: warranty_policy_zh.md.,保修不涵盖意外损坏。,warranty_policy_zh.md,warranty_policy_zh.md;return_policy_zh.md;warranty_policy.md,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,不涵盖;意外损坏,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1
