question,language,question_type,answer,expected_answer,expected_source,retrieved_sources,source_match,keyword_recall,context_keyword_recall,answer_groundedness,hallucination_risk,context_precision,context_recall,faithfulness,answer_relevancy,faithfulness_failure_hallucination_risk,citation_accuracy,proxy_context_precision,proxy_context_recall,proxy_faithfulness,proxy_answer_relevancy,ragas_context_precision,ragas_context_recall,ragas_faithfulness,ragas_answer_relevancy,source_citation,matched_keywords,missing_keywords,unanswerable_safe,source_pass,keyword_pass,context_pass,groundedness_pass,citation_accuracy_pass,context_precision_pass,context_recall_pass,faithfulness_pass,answer_relevancy_pass,proxy_context_precision_pass,proxy_context_recall_pass,proxy_faithfulness_pass,proxy_answer_relevancy_pass,ragas_context_precision_pass,ragas_context_recall_pass,ragas_faithfulness_pass,ragas_answer_relevancy_pass,unanswerable_pass,overall_pass
When is my payment charged?,en,normal,"Payment is charged when the order is placed. # Payment Policy

The company accepts credit cards, debit cards, PayPal, and selected digital wallets. Source: payment_policy.md.",Payment is charged when the order is placed.,payment_policy.md,payment_policy.md;warranty_policy.md;return_policy.md,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,payment;order is placed,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1
How long does express delivery take?,en,normal,"Express shipping usually takes 1 to 2 business days. If an order has not arrived after the estimated delivery date, customers should contact customer support fo Source: shipping_policy.md.",Express shipping usually takes 1 to 2 business days.,shipping_policy.md,shipping_policy.md;account_support.md;shipping_policy.md,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,express shipping;1 to 2 business days,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1
Which orders qualify for free standard shipping?,en,normal,"Orders above $50 qualify for free standard shipping. # Shipping Policy

Standard shipping usually takes 3 to 5 business days. Source: shipping_policy.md.",Orders above $50 qualify for free standard shipping.,shipping_policy.md,shipping_policy.md;account_support.md;shipping_policy.md,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,above $50;free standard shipping,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1
How can customers track an order?,en,normal,"Customers can track their order using the tracking link sent by email after the order is shipped. If an order has not arrived after the estimated delivery date, customers should contact customer support fo Source: shipping_policy.md.",Customers can track their order using the tracking link sent by email after the order is shipped.,shipping_policy.md,shipping_policy.md;account_support.md;return_policy.md,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,tracking link;email,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1
How many business days can account deletion take?,en,normal,Account deletion may take up to 14 business days to complete. Account deletion may take up to 14 busines Source: account_support.md.,Account deletion may take up to 14 business days to complete.,account_support.md,account_support.md;account_support.md;shipping_policy.md,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,account deletion;14 business days,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1
Can support tell me my password if I forgot it?,en,normal,"# Account Support

Customers can create an account using an email address and password. For security reasons, customer support cannot see or share a customer's password. Source: account_support.md.",Customer support cannot see or share a customer's password.,account_support.md,account_support.md;return_policy.md;shipping_policy.md,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,cannot see;share;password,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1
Do repaired warranty products restart the warranty period?,en,normal,"Products repaired or replaced under warranty do not restart the original warranty period. If the warranty claim is approved, the company may repair the product, replace the product, or provide store credit. Source: warranty_policy.md.",Products repaired or replaced under warranty do not restart the original warranty period.,warranty_policy.md,warranty_policy.md;warranty_policy.md;return_policy.md,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,do not restart;original warranty period,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1
Does the company store full credit card numbers?,en,normal,The company does not store full card numbers on its servers. ot store full card numbers on its servers. Source: payment_policy.md.,The company does not store full card numbers on its servers.,payment_policy.md,payment_policy.md;payment_policy.md;warranty_policy.md,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,does not store;full card numbers,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1
我的账户删除最多需要多久?,zh,normal,账户删除最多可能需要14个工作日完成。 Source: account_support_zh.md.,账户删除最多可能需要14个工作日完成。,account_support_zh.md,account_support_zh.md;shipping_policy_zh.md;warranty_policy.md,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,账户删除;14个工作日,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1
我可以45天后退货吗?,zh,unanswerable,I could not find enough information in the provided documents to answer this safely. Reason: 提供的文档没有提供45天后退货的依据。 文档只提到10个工作日。我无法确认45天后可以退货.,文档只提到大多数商品可在送达后30天内退货。,none,return_policy_zh.md;account_support_zh.md;shipping_policy_zh.md,,,,,,,,,,,,,,,,,,,,0,,,1.0,,,,,,,,,,,,,,,,,,1.0,1
公司支持国际配送吗?,zh,unanswerable,I could not find enough information in the provided documents to answer this safely. Reason: 提供的文档没有提到国际配送.,提供的文档没有提到国际配送。,none,shipping_policy_zh.md;payment_policy_zh.md;account_support_zh.md,,,,,,,,,,,,,,,,,,,,0,,,1.0,,,,,,,,,,,,,,,,,,1.0,1
我可以用加密货币付款吗?,zh,unanswerable,I could not find enough information in the provided documents to answer this safely. Reason: 提供的文档没有提到加密货币作为可接受的付款方式.,提供的文档没有提到加密货币作为可接受的付款方式。,none,payment_policy_zh.md;account_support_zh.md;return_policy_zh.md,,,,,,,,,,,,,,,,,,,,0,,,1.0,,,,,,,,,,,,,,,,,,1.0,1
加急配送通常需要多久?,zh,normal,"加急配送通常需要1到2个工作日。 # 配送政策

标准配送通常需要3到5个工作日。 Source: shipping_policy_zh.md.",加急配送通常需要1到2个工作日。,shipping_policy_zh.md,shipping_policy_zh.md;account_support_zh.md;warranty_policy_zh.md,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,加急配送;1到2个工作日,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1
定制商品可以退货吗?,zh,normal,"# 退货政策

大多数商品可以在送达后30天内退货。 最终销售商品、礼品卡和定制商品不能退货。 Source: return_policy_zh.md.",定制商品不能退货。,return_policy_zh.md,return_policy_zh.md;account_support_zh.md;shipping_policy_zh.md,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,定制商品;不能退货,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1
公司会保存完整银行卡号吗?,zh,normal,公司不会在服务器上保存完整的银行卡号。 Source: payment_policy_zh.md.,公司不会在服务器上保存完整的银行卡号。,payment_policy_zh.md,payment_policy_zh.md;return_policy_zh.md;warranty_policy_zh.md,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,不会;完整的银行卡号,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1
保修是否覆盖进水损坏?,zh,normal,保修涵盖制造缺陷，但不涵盖意外损坏、误用、进水损坏或正常磨损。 Source: warranty_policy_zh.md.,保修不覆盖进水损坏。,warranty_policy_zh.md,warranty_policy_zh.md;return_policy_zh.md;warranty_policy.md,1.0,0.6666666666666666,0.6666666666666666,1.0,0.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.0,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,1,保修;进水损坏,不覆盖,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1
